path,namespace,methods
/wc-analytics/settings/(?P<group_id>[\w-]+)/(?P<id>[\w-]+),wc-analytics,GET,POST,PUT,PATCH,GET,POST,PUT,PATCH
/wc-analytics/taxes,wc-analytics,GET,POST,GET,POST
/wc-analytics/taxes/(?P<id>[\d]+),wc-analytics,GET,POST,PUT,PATCH,DELETE,GET,POST,PUT,PATCH,DELETE
/wc-analytics/taxes/batch,wc-analytics,POST,PUT,PATCH,POST,PUT,PATCH
/wc/store,wc/store,GET
/wc/store/batch,wc/store,POST
/wc/store/cart,wc/store,GET
/wc/store/cart/add-item,wc/store,POST
/wc/store/cart/apply-coupon,wc/store,POST
/wc/store/cart/coupons,wc/store,GET,POST,DELETE
/wc/store/cart/coupons/(?P<code>[\w-]+),wc/store,GET,DELETE
/wc/store/cart/extensions,wc/store,POST
/wc/store/cart/items,wc/store,GET,POST,DELETE
/wc/store/cart/items/(?P<key>[\w-]{32}),wc/store,GET,POST,PUT,PATCH,DELETE
/wc/store/cart/remove-coupon,wc/store,POST
/wc/store/cart/remove-item,wc/store,POST
/wc/store/cart/select-shipping-rate,wc/store,POST
/wc/store/cart/update-item,wc/store,POST
/wc/store/cart/update-customer,wc/store,POST
/wc/store/checkout,wc/store,GET,POST
/wc/store/checkout/(?P<id>[\d]+),wc/store,POST
/wc/store/order/(?P<id>[\d]+),wc/store,GET
/wc/store/products/attributes,wc/store,GET
/wc/store/products/attributes/(?P<id>[\d]+),wc/store,GET
/wc/store/products/attributes/(?P<attribute_id>[\d]+)/terms,wc/store,GET
/wc/store/products/categories,wc/store,GET
/wc/store/products/categories/(?P<id>[\d]+),wc/store,GET
/wc/store/products/collection-data,wc/store,GET
/wc/store/products/reviews,wc/store,GET
/wc/store/products/tags,wc/store,GET
/wc/store/products,wc/store,GET
/wc/store/products/(?P<id>[\d]+),wc/store,GET
/wc/store/products/(?P<slug>[\S]+),wc/store,GET
/wc/store/v1,wc/store/v1,GET
/wc/store/v1/batch,wc/store/v1,POST
/wc/store/v1/cart,wc/store/v1,GET
/wc/store/v1/cart/add-item,wc/store/v1,POST
/wc/store/v1/cart/apply-coupon,wc/store/v1,POST
/wc/store/v1/cart/coupons,wc/store/v1,GET,POST,DELETE
/wc/store/v1/cart/coupons/(?P<code>[\w-]+),wc/store/v1,GET,DELETE
/wc/store/v1/cart/extensions,wc/store/v1,POST
/wc/store/v1/cart/items,wc/store/v1,GET,POST,DELETE
